MAC1,MAC2,taper,rootchord1,rootchord2,thicknessChordRatio,xAC,MTOM,de_da,v_stall,AR1,AR2,S1,S2,span1,span2,nmax,Pmax,lf,m_pax,n_prop,n_pax,pos_fus,pos_lgear,pos_frontwing,pos_backwing,zpos_frontwing,zpos_backwing,Mac1,Mac2,flighttime,takeofftime,T_max,T_max_ctrl,battery_pos,cargo_m,cargo_pos,battery_m,P_max,vol_bat,price_bat,h_winglet_1,h_winglet_2,V_cruise,h_cruise,CLmax,CD0fwd,CD0fwd,CD0,Clafwd,Clarear,CL_cr_fwd,CL_cr_rear,CL_cr,P_br_cruise_per_engine,T_cr_per_engine,Prop_radius_front,Prop_radius_back,Disk_load_front,Disk_load_back,Root chord vertical tail,Vertical_tail_mass,Energy,cm_alpha,ctrl_margin,E_climb,E_cruise,E_desc,E_loiter,Cr_vert,m_v_tail,S_vtail,b_vtail,converged
1.1231717125348095,1.0045953198530746,0.45,1.478304674591958,1.3222358975373296,0.17,0.25,2534.674668338839,0.35901507847396585,39.60052017246026,8.0,10.0,9.189542709420428,9.189542709420428,8.574167112633356,9.58621025714564,3.2,17.0,7.35265972888934,88.0,12.0,5.0,2.941063891555736,4.125,0.5,6.1,0.3,1.7,-0.002968029517020233,-0.0030916974135627427,1.8618939712577807,0.07543888888886058,32950.6124784619,1.7000000000000004,1.0,35.0,6.5,891.1597380909247,1500000.0,336.6603455010161,30299.431095091448,0.5,0.5,66.61871970477522,1000.0,1.7140657739256229,0.008558896967176247,0.008558896967176247,0.005748523361282174,6.028232202020173,6.028232202020173,0.6056708890848296,0.6056708890848296,0.6056708890848296,10821.020457650242,132.8736832743052,0.5394167112633357,0.6406210257145639,233.40336735376454,165.4830566632366,1.7780985463333243,11.141918152392245,968442165.2911427,-0.05264335120164731,-0.06416346048849153,102208373.26913491,721934113.9713204,73831437.54247288,70468240.50821458,1.7780985463333243,11.141918152392245,2.1688812261642587,1.7425365754066575,0.0
1.068632193720871,0.9558136912418367,0.45,1.406520436516124,1.2580301231170923,0.17,0.25,2485.5190685428884,0.3402939457810693,40.30548692309671,8.0,10.0,8.31875039970922,8.31875039970922,8.157818531793518,9.120718392598919,3.2,17.0,7.3064000139880605,88.0,12.0,5.0,2.9225600055952246,4.125,0.5,6.1,0.3,1.7,-0.002968029517020233,-0.0030916974135627427,1.8945502066188347,0.07426111111108387,29828.259901938334,1.6000000000000003,1.0,35.0,6.5,838.4872067662546,2113101.3996616653,316.7618336672518,28508.565030052658,0.5,0.5,65.3514334363752,1000.0,1.6546300984797624,0.008558896967176247,0.008558896967176247,0.006810380855278823,6.028232202020173,6.028232202020173,0.6293888262485584,0.6293888262485584,0.6293888262485584,10036.693303571594,125.37430341207569,0.49778185317935186,0.5940718392598919,268.7649713233656,188.70041440374544,1.4739888736914222,15.99511146987295,911608245.9345517,-0.05482534994836626,-0.07220888369766598,93489302.65731847,684787614.9802864,68246827.87584381,65084500.42110314,1.4739888736914222,15.99511146987295,1.4904332350395493,1.4445090962175935,0.0
1.0582193318011306,0.9465001444046931,0.45,1.3928151568335605,1.2457717483087487,0.17,0.25,2406.971165985144,0.33951407502597397,40.12044894256891,8.0,10.0,8.157422726947768,8.157422726947768,8.07832790963465,9.031845175238429,3.2,17.0,7.297567959100358,88.0,12.0,5.0,2.9190271836401434,4.125,0.5,6.1,0.3,1.7,-0.002968029517020233,-0.0030916974135627427,1.8956031877564192,0.07436388888886149,29249.793373298486,1.6000000000000003,1.0,35.0,6.5,821.7542902361979,2372704.346628038,310.4405096447859,27939.64586803073,0.5,0.5,65.30972470006041,1000.0,1.6699278060637945,0.008558896967176247,0.008558896967176247,0.006665733502363979,6.028232202020173,6.028232202020173,0.6301929758619126,0.6301929758619126,0.6301929758619126,9825.970930407439,122.79738320167554,0.48983279096346505,0.5851845175238429,268.7873742596409,188.3297456250997,1.4586098353563894,11.390048297053415,893406329.8360513,-0.11945893534271285,-0.04543203995634393,91698497.09261675,670770079.5928178,67213255.14779654,63724498.00282026,1.4586098353563894,11.390048297053415,1.459494259133698,1.4294376386492615,0.0
1.0413640605251315,0.9314243314637598,0.45,1.3706304578772535,1.2259291503380803,0.17,0.25,2362.695580578846,0.3347749324305163,40.064861797531535,8.0,10.0,7.899630117915704,7.899630117915704,7.94965665568807,8.887986339951082,3.2,17.0,7.283271535868766,88.0,12.0,5.0,2.913308614347507,4.125,0.5,6.1,0.3,1.7,-0.002968029517020233,-0.0030916974135627427,1.9026347334225768,0.07414583333330622,28325.440115822686,1.6000000000000003,1.0,35.0,6.5,803.4670793960903,2136594.6879177485,303.53200777185634,27317.88069946707,0.5,0.5,65.04692760443727,1000.0,1.674564832629482,0.008558896967176247,0.008558896967176247,0.006872755316760814,6.028232202020173,6.028232202020173,0.635295366933507,0.635295366933507,0.635295366933507,9576.693158178457,120.09141708036039,0.47696566556880704,0.5707986339951082,278.2705335708664,194.30125484221148,1.4353875212398914,10.981006287933825,873601170.9595513,-0.14961837857340318,-0.0346539246300952,89158637.94528928,656842595.8235003,65627697.72645874,61972239.46430304,1.4353875212398914,10.981006287933825,1.4133914125860023,1.406679770815093,0.0
1.0317417999072873,0.922817919928272,0.45,1.357965757820484,1.2146014982414475,0.17,0.25,2337.3539098109004,0.33223948990350793,40.04170751905303,8.0,10.0,7.754318552531502,7.754318552531502,7.876201395358807,8.805860862250494,3.2,17.0,7.275110058786326,88.0,12.0,5.0,2.9100440235145304,4.125,0.5,6.1,0.3,1.7,-0.002968029517020233,-0.0030916974135627427,1.9081541865185567,0.07402361111108412,27804.404205667233,1.6000000000000003,1.0,35.0,6.5,793.0012436584485,2088919.7434584557,299.5782476043028,26962.04228438725,0.5,0.5,64.83848300568575,1000.0,1.676502040270621,0.008558896967176247,0.008558896967176247,0.006985751455537498,6.028232202020173,6.028232202020173,0.6393866640071137,0.6393866640071137,0.6393866640071137,9426.18671468412,118.53675565148588,0.4696201395358807,0.5625860862250495,283.96494872837036,197.8701069320981,1.422152346930237,10.564913169157121,862273254.9393524,-0.16640782246103505,-0.02869069669940849,87709899.57649238,648866841.0116946,64718471.767532095,60978042.5836333,1.422152346930237,10.564913169157121,1.3874468663451187,1.3937092999916325,0.0
1.02619378332223,0.9178556230384787,0.45,1.3506635272168537,1.208070184634609,0.17,0.25,2322.8779258811624,0.33112232574927936,40.004650152090946,8.0,10.0,7.671147707585034,7.671147707585034,7.833848457857751,8.758508838600914,3.2,17.0,7.2704043028303955,88.0,12.0,5.0,2.908161721132158,4.125,0.5,6.1,0.3,1.7,-0.002968029517020233,-0.0030916974135627427,1.9141633897672874,0.07401944444441735,27506.1829615423,1.6000000000000003,1.0,35.0,6.5,787.0483432578085,2062075.0671111622,297.32937411961655,26759.64367076549,0.5,0.5,64.60912120163466,1000.0,1.6796094553291339,0.008558896967176247,0.008558896967176247,0.00705344296522959,6.028232202020173,6.028232202020173,0.6439343557468049,0.6439343557468049,0.6439343557468049,9325.276253570528,117.64908222059772,0.46538484578577516,0.5578508838600914,287.3661429529403,199.99715720722367,1.4143663774390578,10.331566011993743,855836169.0266916,-0.17339791839278393,-0.025825171985461193,86799793.82789141,644344682.1103805,64276639.49194533,60415053.59647432,1.4143663774390578,10.331566011993743,1.372296523246237,1.3860790498902764,0.0
1.0230110738364564,0.9150089211333492,0.45,1.3464744844746097,1.2043233909016848,0.17,0.25,2314.6297041611715,0.33038885575805854,39.99294162421796,8.0,10.0,7.623637824519602,7.623637824519602,7.809552009952736,8.731344584037215,3.2,17.0,7.267704769783032,88.0,12.0,5.0,2.907081907913213,4.125,0.5,6.1,0.3,1.7,-0.002968029517020233,-0.0030916974135627427,1.9168938504919804,0.07394583333330641,27335.829327017997,1.6000000000000003,1.0,35.0,6.5,783.6747502497041,2046720.8332492444,296.0549056498882,26644.94150848994,0.5,0.5,64.50605479450705,1000.0,1.6805930605377288,0.008558896967176247,0.008558896967176247,0.007094316572831288,6.028232202020173,6.028232202020173,0.6459937289754634,0.6459937289754634,0.6459937289754634,9272.06377782393,117.1460270002785,0.4629552009952736,0.5551344584037216,289.35918593485223,201.24209847734673,1.40996792452947,10.196746125923024,852194625.8804792,-0.17829602712600112,-0.023974283534774266,86327278.67219451,641820547.090136,63952894.82874173,60093905.28940689,1.40996792452947,10.196746125923024,1.3637745500665317,1.3817685660388805,0.0
1.0211931724394323,0.913382940693294,0.45,1.3440817852077245,1.2021832956174974,0.17,0.25,2309.919749358658,0.329802463562862,39.9884254969411,8.0,10.0,7.596567329600807,7.596567329600807,7.795674354204802,8.715828893226856,3.2,17.0,7.266162849315566,88.0,12.0,5.0,2.9064651397262264,4.125,0.5,6.1,0.3,1.7,-0.002968029517020233,-0.0030916974135627427,1.917116194777076,0.07394027777775086,27238.764106218714,1.6000000000000003,1.0,35.0,6.5,781.7428171363639,2037953.7546276583,295.3250642515153,26579.255782636377,0.5,0.5,64.49877057029775,1000.0,1.6809726804225535,0.008558896967176247,0.008558896967176247,0.007117464215431415,6.028232202020173,6.028232202020173,0.6461396489311917,0.6461396489311917,0.6461396489311917,9248.818981046921,116.85817978810478,0.4615674354204803,0.5535828893226856,290.509445243405,201.95995373981935,1.4075613903815767,10.120852763404727,850095892.1150826,-0.18246968564239388,-0.022649077278790397,86063813.3530724,640304798.3338763,63817962.72547375,59909317.702660225,1.4075613903815767,10.120852763404727,1.3591231404373414,1.3794101625739452,0.0
1.020153649145777,0.9124531627937711,0.45,1.3427135775443662,1.200959533480455,0.17,0.25,2307.2345784891777,0.3297317189918434,39.986396387126454,8.0,10.0,7.58110935430897,7.58110935430897,7.787738749757324,8.706956617733299,3.2,17.0,7.2652811390943635,88.0,12.0,5.0,2.9061124556377456,4.125,0.5,6.1,0.3,1.7,-0.002968029517020233,-0.0030916974135627427,1.9194015732610645,0.0739361111110841,27183.337272000685,1.6000000000000003,1.0,35.0,6.5,780.642981397222,2032959.6674089425,294.9095707500617,26541.86136750555,0.5,0.5,64.41168289875925,1000.0,1.6811432866794156,0.008558896967176247,0.008558896967176247,0.007130058613109982,6.028232202020173,6.028232202020173,0.647888053425,0.647888053425,0.647888053425,9223.92262735805,116.69161411744153,0.4607738749757324,0.55269566177333,291.17208992207816,202.3733528884418,1.406029330231981,10.078977522765848,848913676.3010256,-0.1826418863301322,-0.022357979694107577,85869402.04820962,639495182.657531,63743611.288440034,59805480.30684495,1.406029330231981,10.078977522765848,1.3561660755461988,1.3779087436273414,0.0
1.019560536896475,0.9119226670706803,0.45,1.341932930559657,1.2002613015907593,0.17,0.25,2305.713259593165,0.3295393270613044,39.985279386811264,8.0,10.0,7.572296678456405,7.572296678456405,7.783210997246011,8.701894436533005,3.2,17.0,7.264778068950844,88.0,12.0,5.0,2.905911227580338,4.125,0.5,6.1,0.3,1.7,-0.002968029517020233,-0.0030916974135627427,1.919467316107838,0.0739361111110841,27151.738137036384,1.6000000000000003,1.0,35.0,6.5,780.0275848414293,2030108.3365183224,294.6770876067622,26520.937884608597,0.5,0.5,64.4098835900793,1000.0,1.6812372144367735,0.008558896967176247,0.008558896967176247,0.007138406198420067,6.028232202020173,6.028232202020173,0.6479242518099675,0.6479242518099675,0.6479242518099675,9216.614499787147,116.59999113738557,0.4603210997246011,0.5521894436533005,291.55280197182515,202.61088989149496,1.4052449815501709,10.053143922668605,848244838.4786924,-0.18406623768535574,-0.02191300905522109,85803337.93305567,639014685.7000569,63681653.06145785,59745161.78412204,1.4052449815501709,10.053143922668605,1.3546534323059507,1.3771400819191673,1.0
1.0589364458270285,1.0045953198530746,0.45,1.393759013418328,1.3222358975373296,0.17,0.25,2532.5650270800966,0.3493417741046887,39.62896859636843,9.0,10.0,9.189542709420428,9.189542709420428,9.09427756255459,9.58621025714564,3.2,17.0,7.373796144182747,88.0,12.0,5.0,2.949518457673099,4.125,0.5,6.1,0.3,1.7,-0.0030354847333161476,-0.0030916974135627427,1.8736473939699518,0.0760347222221934,32950.610335802456,1.7000000000000004,1.0,35.0,6.5,864.9857150237891,1500000.0,326.7723812312093,29409.514310808834,0.5,0.5,66.10712789814232,1000.0,1.7116057065089225,0.008558896967176247,0.008558896967176247,0.00572976513580962,6.028232202020173,6.028232202020173,0.6150815301668697,0.6150815301668697,0.6150815301668697,10435.470109393953,129.29394832901315,0.591427756255459,0.6406210257145639,193.99515646997884,165.34532305650575,1.7859942803272681,11.141918152392245,939978022.4531044,-0.07143078198998963,-0.05766436612127812,99556259.3065045,700973145.2894446,71588182.17497873,67860435.68217658,1.7859942803272681,11.141918152392245,2.188186040582137,1.7502743947207227,0.0
1.00709672299594,0.9554158406276533,0.45,1.3255282133229467,1.2575064770742181,0.17,0.25,2478.695576671774,0.3311045349679834,40.22175835041106,9.0,10.0,8.311826600263231,8.311826600263231,8.649071591932227,9.116921958788081,3.2,17.0,7.32612442374348,88.0,12.0,5.0,2.9304497694973923,4.125,0.5,6.1,0.3,1.7,-0.0030354847333161476,-0.0030916974135627427,1.905891531409995,0.07487222222219442,29803.43220420727,1.6000000000000003,1.0,35.0,6.5,813.6894560253103,2029709.0057373927,307.3937944984506,27665.441504860555,0.5,0.5,64.87512152674196,1000.0,1.6615260681984296,0.008558896967176247,0.008558896967176247,0.006817263001868849,6.028232202020173,6.028232202020173,0.6386646748630599,0.6386646748630599,0.6386646748630599,9685.317980021047,122.05041643550987,0.5469071591932227,0.5936921958788082,222.03920386920348,188.42312319957443,1.500978151657097,16.112078590782165,884621872.7766392,-0.06814390259652617,-0.0660875479738321,90901154.66518447,665047726.2840699,66044064.94535026,62628926.88203456,1.500978151657097,16.112078590782165,1.5455136924618411,1.470958588623955,0.0
0.9963283223250209,0.9452000387644361,0.45,1.3113549779466993,1.2440605653934333,0.17,0.25,2399.8441323245866,0.3298476891940507,40.16277581728914,9.0,10.0,8.135028166241698,8.135028166241698,8.556591231102212,9.019439099102392,3.2,17.0,7.316221820906758,88.0,12.0,5.0,2.9264887283627035,4.125,0.5,6.1,0.3,1.7,-0.0030354847333161476,-0.0030916974135627427,1.906152563536118,0.07492638888886101,29169.493098618575,1.6000000000000003,1.0,35.0,6.5,796.7050966989576,2275358.2690227856,300.97748097516177,27087.97328776456,0.5,0.5,64.8645005195149,1000.0,1.6664098430803835,0.008558896967176247,0.008558896967176247,0.006697789732340478,6.028232202020173,6.028232202020173,0.6388738437435304,0.6388738437435304,0.6388738437435304,9476.799563580264,119.42071156738388,0.5376591231102212,0.5839439099102393,222.43477424560822,188.57080514301308,1.4841242835200534,11.739424027311111,866150182.5130925,-0.13837729262158768,-0.03849319069932067,89086468.533631,650792208.2080854,65046801.07846646,61224704.69290978,1.4841242835200534,11.739424027311111,1.5110006738086632,1.454441797849652,0.0
0.980352809937347,0.9300443369844507,0.44999999999999996,1.2903282067254036,1.224112818723861,0.17,0.25,2355.0972474111086,0.3261167848184756,40.140308476225606,9.0,10.0,7.876239339267426,7.876239339267426,8.419391548883258,8.874817935747993,3.2,17.0,7.30153076704251,88.0,12.0,5.0,2.920612306817004,4.125,0.5,6.1,0.3,1.7,-0.0030354847333161476,-0.0030916974135627427,1.9203687663360813,0.07470833333330562,28241.56775523067,1.6000000000000003,1.0,35.0,6.5,778.740157947224,2045689.757813191,294.190726335618,26477.16537020562,0.5,0.5,64.32631145178652,1000.0,1.6682758116104357,0.008558896967176247,0.008558896967176247,0.006905460989556426,6.028232202020173,6.028232202020173,0.6496088996160756,0.6496088996160756,0.6496088996160756,9196.199827635193,116.77348199545408,0.5239391548883259,0.5694817935747993,229.86921939777872,194.573120118398,1.4596113455693764,11.300533388539264,846735002.1973902,-0.16033196375872713,-0.029853551887033092,86416849.76903158,637343831.050187,63436682.882511064,59537638.49566049,1.4596113455693764,11.300533388539264,1.461499182158784,1.4304191186579889,0.0
